# MJD	Densities (cm^3)
59000.499306	5.41
59000.500000	5.37
59000.500694	5.40
59000.501389	5.45
59000.502083	5.51
59000.502778	5.35
59000.503472	5.31
59000.504167	5.20
59000.504861	5.11
59000.505556	5.52
59000.506250	5.28
59000.506944	5.41
59000.507639	5.38
59000.508333	5.36
59000.509028	5.54
59000.509722	5.60
59000.510417	5.57
59000.511111	5.76
59000.511806	5.78
59000.512500	5.72
59000.513194	5.76
59000.513889	5.46
59000.514583	5.13
59000.515278	5.14
59000.515972	5.27
59000.516667	5.09
59000.517361	5.06
59000.518056	4.98
59000.518750	4.96
59000.519444	4.97
59000.520139	4.99
59000.520833	4.89
59000.521528	4.90
59000.522222	4.75
59000.522917	4.80
59000.523611	4.80
59000.524306	5.10
59000.525000	5.07
59000.525694	5.31
59000.526389	5.36
59000.527083	5.31
59000.527778	5.24
59000.528472	5.27
59000.529167	5.17
59000.529861	5.19
59000.530556	5.35
59000.531250	5.27
59000.531944	5.34
59000.532639	5.17
59000.533333	5.20
59000.534028	4.79
59000.534722	4.65
59000.535417	4.93
59000.536111	5.02
59000.536806	4.74
59000.537500	4.70
59000.538194	5.09
59000.538889	5.50
59000.539583	5.42
59000.540278	5.44
59000.540972	5.33
59000.541667	5.27
59000.542361	5.16
59000.543056	5.27
59000.543750	5.30
59000.544444	5.42
59000.545139	5.08
59000.545833	5.17
59000.546528	5.13
59000.547222	5.25
59000.547917	4.90
59000.548611	4.63
59000.549306	4.61
59000.550000	4.54
59000.550694	4.45
59000.551389	4.48
59000.552083	4.56
59000.552778	4.48
59000.553472	4.54
59000.554167	4.62
59000.554861	4.65
59000.555556	4.58
59000.556250	4.41
59000.556944	4.72
59000.557639	4.88
59000.558333	4.82
59000.559028	4.74
59000.559722	4.79
59000.560417	4.87
59000.561111	4.87
59000.561806	4.85
59000.562500	5.07
59000.563194	4.94
59000.563889	4.91
59000.564583	4.67
59000.565278	4.73
59000.565972	4.81
59000.566667	4.77
59000.567361	4.73
59000.568056	4.66
59000.568750	4.80
59000.569444	4.78
59000.570139	4.81
59000.570833	4.82
59000.571528	4.96
59000.572222	4.94
59000.572917	5.06
59000.573611	5.14
59000.574306	5.20
59000.575000	5.02
59000.575694	5.07
59000.576389	4.97
59000.577083	4.77
59000.577778	4.97
59000.578472	4.81
59000.579167	4.86
59000.579861	4.91
59000.580556	4.80
59000.581250	4.80
59000.581944	4.90
59000.582639	4.82
59000.583333	4.84
59000.584028	4.73
59000.584722	4.81
59000.585417	4.81
59000.586111	4.86
59000.586806	4.83
59000.587500	4.89
59000.588194	4.83
59000.588889	4.93
59000.589583	4.97
59000.590278	4.93
59000.590972	4.86
59000.591667	4.98
59000.592361	5.01
59000.593056	4.98
59000.593750	4.96
59000.594444	4.96
59000.595139	5.03
59000.595833	5.07
59000.596528	4.95
59000.597222	4.97
59000.597917	4.86
59000.598611	4.91
59000.599306	4.94
59000.600000	5.02
59000.600694	4.67
59000.601389	4.64
59000.602083	4.77
59000.602778	4.65
59000.603472	4.72
59000.604167	4.89
59000.604861	5.03
59000.605556	4.75
59000.606250	4.87
59000.606944	4.72
59000.607639	4.73
59000.608333	4.77
59000.609028	4.80
59000.609722	4.81
59000.610417	4.77
59000.611111	4.79
59000.611806	4.95
59000.612500	4.81
59000.613194	4.69
59000.613889	4.87
59000.614583	4.78
59000.615278	4.79
59000.615972	4.78
59000.616667	4.81
59000.617361	4.85
59000.618056	4.89
59000.618750	4.93
59000.619444	4.94
59000.620139	4.92
59000.620833	5.01
59000.621528	5.04
59000.622222	4.93
59000.622917	5.07
59000.623611	5.12
59000.624306	5.13
59000.625000	5.23
59000.625694	5.07
59000.626389	5.10
59000.627083	5.19
59000.627778	5.12
59000.628472	4.99
59000.629167	5.05
59000.629861	4.90
59000.630556	5.01
59000.631250	4.96
59000.631944	4.92
59000.632639	4.91
59000.633333	4.89
59000.634028	4.93
59000.634722	4.85
59000.635417	4.73
59000.636111	4.69
59000.636806	4.63
59000.637500	4.98
59000.638194	4.93
59000.638889	4.86
59000.639583	4.87
59000.640278	4.86
59000.640972	4.89
59000.641667	4.86
59000.642361	4.87
59000.643056	4.83
59000.643750	4.83
59000.644444	4.94
59000.645139	4.94
59000.645833	5.00
59000.646528	4.96
59000.647222	4.89
59000.647917	4.84
59000.648611	4.98
59000.649306	4.89
59000.650000	4.91
59000.650694	4.75
59000.651389	4.74
59000.652083	4.69
59000.652778	4.57
59000.653472	4.65
59000.654167	4.81
59000.654861	4.81
59000.655556	4.76
59000.656250	4.79
59000.656944	4.88
59000.657639	4.87
59000.658333	4.87
59000.659028	4.83
59000.659722	4.89
59000.660417	4.77
59000.661111	4.69
59000.661806	4.77
59000.662500	4.65
59000.663194	4.53
59000.663889	4.41
59000.664583	4.51
59000.665278	4.50
59000.665972	4.40
59000.666667	4.53
59000.667361	4.59
59000.668056	4.78
59000.668750	4.73
59000.669444	4.62
59000.670139	4.64
59000.670833	4.65
59000.671528	4.59
59000.672222	4.83
59000.672917	4.84
59000.673611	4.76
59000.674306	4.54
59000.675000	4.66
59000.675694	4.79
59000.676389	5.18
59000.677083	4.97
59000.677778	5.18
59000.678472	5.06
59000.679167	5.17
59000.679861	5.19
59000.680556	4.91
59000.681250	4.70
59000.681944	4.67
59000.682639	4.78
59000.683333	4.67
59000.684028	4.71
59000.684722	4.77
59000.685417	4.72
59000.686111	4.56
59000.686806	4.61
59000.687500	4.57
59000.688194	4.59
59000.688889	4.48
59000.689583	4.67
59000.690278	4.75
59000.690972	4.56
59000.691667	4.59
59000.692361	4.61
59000.693056	4.57
59000.693750	4.53
59000.694444	4.61
59000.695139	4.50
59000.695833	4.41
59000.696528	4.92
59000.697222	4.31
59000.697917	4.46
59000.698611	4.66
59000.699306	4.58
59000.700000	4.34
59000.700694	4.46
59000.701389	4.54
59000.702083	4.41
59000.702778	4.31
59000.703472	4.49
59000.704167	4.47
59000.704861	4.56
59000.705556	4.73
59000.706250	4.52
59000.706944	4.53
59000.707639	4.63
59000.708333	4.40
59000.709028	4.37
59000.709722	4.45
59000.710417	4.36
59000.711111	4.37
59000.711806	4.38
59000.712500	4.42
59000.713194	4.43
59000.713889	4.39
59000.714583	4.38
59000.715278	4.27
59000.715972	4.19
59000.716667	4.35
59000.717361	4.32
59000.718056	4.09
59000.718750	4.14
59000.719444	4.37
59000.720139	4.33
59000.720833	4.30
59000.721528	4.32
59000.722222	4.29
59000.722917	4.29
59000.723611	4.36
59000.724306	4.26
59000.725000	4.30
59000.725694	4.36
59000.726389	4.29
59000.727083	4.30
59000.727778	4.20
59000.728472	4.30
59000.729167	4.24
59000.729861	4.42
59000.730556	4.24
59000.731250	4.25
59000.731944	4.17
59000.732639	4.25
59000.733333	4.16
59000.734028	4.09
59000.734722	4.13
59000.735417	4.10
59000.736111	4.27
59000.736806	4.32
59000.737500	4.25
59000.738194	4.25
59000.738889	4.43
59000.739583	4.28
59000.740278	4.25
59000.740972	4.23
59000.741667	4.24
59000.742361	4.22
59000.743056	4.16
59000.743750	4.14
59000.744444	4.20
59000.745139	3.98
59000.745833	3.94
59000.746528	3.97
59000.747222	4.01
59000.747917	3.98
59000.748611	3.66
59000.749306	3.46
59000.750000	4.10
59000.750694	4.07
59000.751389	3.52
59000.752083	3.55
59000.752778	3.55
59000.753472	3.82
59000.754167	3.77
59000.754861	3.83
59000.755556	3.84
59000.756250	3.92
59000.756944	3.82
59000.757639	4.03
59000.758333	3.99
59000.759028	3.89
59000.759722	4.00
59000.760417	3.79
59000.761111	3.92
59000.761806	3.76
59000.762500	3.84
59000.763194	3.87
59000.763889	4.07
59000.764583	3.99
59000.765278	3.83
59000.765972	3.82
