# MJD	Densities (cm^3)
56402.686111	2.56
56402.689583	2.66
56402.693056	2.79
56402.696528	2.74
56402.700000	2.64
56402.703472	2.46
56402.706944	2.58
56402.710417	2.38
56402.713889	2.31
56402.717361	2.46
56402.720833	2.14
56402.724306	2.53
56402.727778	2.32
56402.731250	2.18
56402.734722	2.01
56402.738194	2.51
56402.741667	1.88
56402.748611	0.53
56402.752083	0.30
56402.755556	0.34
56402.759028	0.40
56402.762500	0.32
56402.765972	0.30
56402.769444	0.23
56402.772917	0.30
56402.776389	0.30
56402.779861	0.30
56402.783333	0.25
56402.786806	0.27
56402.790278	0.28
56402.793750	0.71
56402.800694	1.63
56402.804167	1.63
56402.807639	1.77
56402.811111	2.08
56402.814583	1.79
56402.818056	1.58
56402.821528	1.64
56402.825000	1.28
56402.828472	1.35
56402.835417	1.27
56402.838889	1.06
56402.842361	1.10
56402.845833	1.30
56402.849306	1.24
56402.852778	1.58
56402.856250	1.60
56402.859722	1.63
56402.863194	1.48
56402.866667	2.61
56402.870139	2.75
56402.873611	1.78
56402.877083	1.61
56402.880556	1.59
56402.884028	1.47
56402.887500	1.55
56402.890972	1.54
56402.894444	1.64
56402.897917	1.44
56402.901389	1.49
56402.904861	1.33
56402.908333	1.73
56402.911806	2.53
56402.915278	3.18
56402.918750	3.58
56402.922222	3.88
56402.925694	3.85
56402.929167	4.31
56402.932639	4.63
56402.936111	4.61
56402.939583	4.35
56402.943056	4.50
56402.946528	4.60
56402.950000	4.96
56402.953472	5.27
56402.956944	4.66
56402.960417	4.88
56402.963889	5.57
56402.967361	5.80
56402.970833	5.79
56402.974306	5.71
56402.977778	5.48
56402.981250	5.72
56402.984722	5.89
56402.988194	5.70
56402.991667	6.13
56402.995139	5.54
56402.998611	5.40
56403.002083	5.29
56403.005556	5.45
56403.009028	5.30
56403.012500	5.45
56403.015972	5.45
56403.019444	5.25
56403.022917	5.45
56403.026389	5.03
56403.029861	5.18
56403.033333	5.28
56403.036806	3.91
56403.040278	4.99
56403.043750	5.00
56403.047222	4.88
56403.050694	4.66
56403.054167	4.94
56403.057639	4.84
56403.061111	4.23
56403.064583	3.43
56403.068056	3.59
56403.071528	3.20
56403.075000	3.62
56403.078472	3.60
56403.081944	4.08
56403.085417	4.60
56403.088889	4.75
56403.092361	5.09
56403.095833	3.95
56403.099306	3.10
56403.102778	3.70
56403.106250	3.74
56403.109722	3.25
56403.113194	3.39
56403.116667	3.27
56403.120139	3.64
56403.123611	3.19
56403.127083	2.85
56403.130556	2.63
56403.134028	2.42
56403.137500	2.66
56403.140972	2.83
56403.144444	2.83
56403.147917	2.86
56403.151389	2.76
56403.154861	2.63
56403.158333	2.36
56403.161806	2.35
56403.165278	2.44
56403.168750	2.67
56403.172222	2.70
56403.175694	2.32
56403.179167	2.44
56403.182639	2.66
56403.186111	2.89
56403.189583	2.63
56403.193056	2.44
56403.196528	2.35
56403.200000	2.42
56403.203472	2.56
56403.206944	2.45
56403.210417	2.64
56403.213889	2.59
56403.217361	2.41
56403.220833	3.01
56403.224306	2.88
56403.227778	2.98
56403.231250	3.20
56403.234722	3.52
56403.238194	2.83
56403.241667	3.15
56403.245139	2.53
56403.248611	2.08
56403.252083	2.30
56403.255556	2.32
56403.259028	2.47
56403.262500	2.67
56403.265972	2.17
56403.269444	2.15
56403.272917	2.35
56403.276389	2.10
56403.279861	2.19
56403.283333	2.10
56403.286806	1.90
56403.290278	1.53
56403.293750	1.28
56403.297222	1.31
56403.300694	1.26
56403.304167	1.08
56403.307639	1.08
56403.311111	1.12
56403.314583	1.03
56403.318056	0.93
56403.321528	0.97
56403.325000	0.94
56403.328472	0.85
56403.331944	0.99
56403.335417	1.01
56403.338889	0.62
56403.342361	0.39
56403.345833	0.51
56403.349306	0.58
56403.352778	0.63
56403.356250	0.89
56403.363194	0.62
